player_a,player_b,elo_points_a,elo_points_b,h2h_wins_a,h2h_wins_b,last5_winrate_a,last5_winrate_b,surface_winrate_a,surface_winrate_b,winrate_a,winrate_b,result
Tallon Griekspoor,Nikoloz Basilashvili,1913,1618,0,0,"0,6","0,8","0,61","0,59","0,57","0,61",0
Giovanni Mpetshi Perricard,Rinky Hijikata,1772,1659,0,0,"0,4","0,6","0,55","0,33","0,57","0,53",1
Daniel Altmaier,Alexander Bublik,1721,1786,0,0,"0,6","0,8","0,61","0,63","0,53","0,46",0
Camilo Ugo Carabelli,Bu Yunchaokete,1738,1715,0,0,"0,8","0,6","0,7","0,5","0,65","0,57",0
Nicolas Jarry,Alexei Popyrin,1729,1715,2,1,"0,6","0,2","0,31","0,43","0,3","0,52",0
Alexander Bublik,Bu Yunchaokete,1786,1715,0,0,"0,8","0,8","0,65","0,54","0,47","0,57",1
Nuno Borges,Alex Michelsen,1824,1715,1,1,"0,4","0,8","0,58","0,62","0,56","0,62",1
Francisco Cerundolo,Pedro Martinez,1950,1685,2,1,"0,6","0,2","0,73","0,53","0,63","0,41",1
Carlos Alcaraz,Jannik Sinner,2166,2210,7,4,1,1,"0,93","0,91","0,83","0,93",1
Giovanni Mpetshi Perricard,Nikoloz Basilashvili,1772,1618,0,0,"0,6","0,8","0,58","0,6","0,57","0,62",1
Jaume Munar,Quentin Halys,1729,1760,0,1,"0,6","0,2","0,52","0,57","0,5","0,64",0
Jacob Fearnley,Dusan Lajovic,1843,1680,0,0,"0,6","0,6","0,64","0,57","0,74","0,44",1
Sebastian Ofner,Ivan Gakhov,1673,1446,1,0,"0,8","0,8","0,62","0,61","0,58","0,6",1
Kei Nishikori,Learner Tien,1780,1758,0,0,"0,4","0,2","0,58","0,38","0,63","0,77",1
Matteo Arnaldi,Hugo Gaston,1861,1676,0,0,"0,6","0,2","0,5","0,56","0,51","0,51",1
Cameron Norrie,Dominic Stricker,1773,1541,0,0,"0,6","0,6","0,56","0,6","0,5","0,49",1
Zizou Bergs,Marton Fusovics,1814,1777,0,0,"0,4","0,4","0,54","0,47","0,61","0,57",0
Marcos Giron,Roberto Bautista Agut,1834,1772,0,2,"0,4","0,4","0,33","0,4","0,55","0,49",0
Andrey Rublev,Damiz Dzumhur,1895,1708,5,0,"0,4","0,2","0,46","0,68","0,53","0,6",1
Jiri Lehecka,Borna Gojo,1894,1730,0,0,"0,2","0,8","0,25","0,65","0,59","0,61",1
Elias Ymer,Alexandre Muller,1545,1768,3,0,"0,6","0,6","0,47","0,6","0,53","0,55",0
Alexandar Kovacevic,Alexander Zverev,1698,2070,0,0,"0,4","0,8","0,46","0,76","0,51","0,76",0
Jan Lennard Struff,Justin Engel,1740,1245,0,0,"0,2","0,6","0,54","0,6","0,45","0,59",0
Beibit Zhukayev,Zachary Svajda,1513,1504,0,1,0,0,0,"0,33","0,49","0,45",0
Coleman Wong,Bernard Tomic,1543,1484,0,0,"0,4","0,6","0,33","0,56","0,53","0,57",0
Elmer Moller,Facundo Bagnis,1543,1642,0,0,"0,6","0,4","0,7","0,6","0,65","0,5",1
Ethan Quinn,Mark Lajal,1791,1568,0,0,"0,4","0,6","0,5","0,6","0,59","0,64",1
Maximilian Marterer,Edas Butvilas,1591,1486,0,1,"0,4","0,2","0,62","0,55","0,46","0,61",1
Pavel Kotov,Benjamin Hassan,1623,1543,1,0,0,"0,4","0,39","0,5","0,36","0,5",0
Miomir Kecmanovic,Arthur Rinderknech,1793,1668,1,1,"0,6","0,4","0,45","0,5","0,5","0,45",0
Hubert Hurkacz,Arthur Cazaux,1931,1691,1,0,"0,6","0,4","0,67","0,49","0,59","0,49",1
Karue Sell,Fabian Marozsan,1380,1828,0,0,"0,4","0,4","0,7","0,53","0,68","0,46",0
Jacob Fearnley,Alexei Popyrin,1839,1826,0,0,"0,6","0,4","0,67","0,47","0,74","0,53",0
Nuno Borges,Sebastian Ofner,1804,1719,0,1,"0,4","0,8","0,6","0,62","0,54","0,58",0
Giovanni Mpetshi Perricard,Alexander Bublik,1805,1826,1,1,"0,8",1,"0,62","0,67","0,58","0,48",1
Daniel Altmaier,Felix Auger Aliassime,1732,1849,1,0,"0,6",0,"0,6","0,5","0,53","0,57",0
Sebastian Baez,Camilo Ugo Carabelli,1736,1758,6,1,"0,2","0,6","0,64","0,69","0,47","0,65",0
Tomas Martin Etcheverry,Francisco Comesana,1736,1735,1,0,"0,4","0,6","0,52","0,6","0,48","0,59",1
Alejandro Davidovich Fokina,Gael Monfils,1894,1931,1,0,"0,4","0,4","0,62","0,5","0,58","0,66",1
Flavio Cobolli,Vitaliy Sachko,1779,1522,0,0,"0,4","0,6","0,61","0,58","0,53","0,58",1
Frances Tiafoe,Bu Yunchaokete,1839,1742,0,0,"0,4","0,8","0,53","0,5","0,56","0,56",1
Luciano Darderi,Brandon Nakashima,1747,1816,0,0,"0,2","0,4","0,65","0,5","0,48","0,57",1
Alexandre Muller,Alexander Zverev,1777,2070,0,2,"0,6","0,8","0,61","0,77","0,55","0,76",1
Andrey Rublev,Justin Engel,1884,1234,0,0,"0,4","0,6","0,5","0,61","0,54","0,59",1
Francisco Cerundolo,Jiri Lehecka,1956,1877,0,1,"0,8","0,4","0,73","0,4","0,64","0,6",0
Taylor Fritz,Quentin Halys,2003,1740,0,0,"0,4","0,4","0,58","0,59","0,68","0,65",1
Felix Auger Aliassime,Daniel Altmaier,1849,1732,0,1,0,"0,6","0,5","0,6","0,57","0,53",1
Clement Tabur,Li Tu,1444,1525,0,0,1,"0,2","0,6","0,5","0,6","0,56",1
Liam Draxl,Filip Misolic,1623,1675,0,0,"0,8",1,"0,69","0,63","0,71","0,63",0
Harold Mayot,Cristian Garin,1624,1728,0,0,"0,4",1,"0,53","0,67","0,51","0,59",0
Mitchell Krueger,Sumit Nagal,1564,1537,0,0,"0,8","0,4","0,56","0,51","0,53","0,41",0
Adrian Mannarino,Luca Van Assche,1590,1620,0,1,0,"0,8","0,33","0,54","0,29","0,51",0
Yasutaka Uchiyama,Thiago Seyboth Wild,1546,1622,0,0,"0,4","0,6","0,5","0,42","0,52","0,44",0
Gauthier Onclin,Juan Manuel Cerundolo,1501,1658,0,0,"0,6","0,4","0,62","0,69","0,68","0,66",0
Yibing Wu,Marin Cilic,1716,1787,0,0,"0,4","0,4","0,67","0,64","0,6","0,59",0
Felipe Meligeni Alves,Henri Squire,1622,1438,0,0,"0,8","0,4","0,64","0,5","0,59","0,45",0
Matteo Arnaldi,Fabian Marozsan,1844,1828,2,0,"0,6","0,6","0,53","0,55","0,52","0,47",1
Novak Djokovic,Marton Fucsovics,2148,1768,5,0,"0,4","0,6","0,8","0,5","0,77","0,58",1
Felix Auger Aliassime,Giovanni Mpetshi Perricard,1849,1805,0,1,"0,2",1,"0,53","0,64","0,58","0,59",1
Camilo Ugo Carabelli,Tomas Martin Etcheverry,1758,1736,5,5,"0,8","0,4","0,69","0,54","0,65","0,48",0
Flavio Cobolli,Alejandro Davidovich Fokina,1779,1894,2,2,"0,4","0,4","0,63","0,64","0,54","0,59",1
Frances Tiafoe,Roberto Bautista Agut,1839,1779,0,1,"0,6","0,6","0,56","0,45","0,57","0,5",0
Thiago Agustin Tirante,August Holmgren,1583,1438,1,0,"0,4","0,2","0,51","0,47","0,55","0,56",1
Elmer Moller,Kimmer Coppejans,1708,1546,0,1,"0,6","0,6","0,7","0,62","0,65","0,73",1
Tristan Boyer,Vilius Gaubas,1584,1695,0,0,"0,2","0,8","0,55","0,6","0,54","0,55",0
Matteo Gigante,Zachary Svajda,1630,1462,0,0,"0,4","0,2","0,55","0,33","0,53","0,45",1
Hubert Hurkacz,Arthur Rinderknech,1931,1668,3,0,"0,8","0,4","0,7","0,46","0,6","0,44",1
Taylor Fritz,Hubert Hurkacz,2003,1931,4,1,"0,6","0,8","0,67","0,73","0,7","0,6",0
Karen Khachanov,Sebastian Ofner,1897,1719,0,0,"0,6","0,8","0,62","0,63","0,56","0,58",0
Alexei Popyrin,Cameron Norrie,1826,1768,0,1,"0,6","0,8","0,5","0,61","0,54","0,52",0
Matteo Arnaldi,Novak Djokovic,1844,2148,1,0,"0,6","0,4","0,56","0,85","0,53","0,78",0
Alexandre Muller,Felix Auger Aliassime,1777,1849,1,1,"0,6","0,4","0,63","0,56","0,56","0,59",0
Andrey Rublev,Luciano Darderi,1884,1747,0,0,"0,6","0,6","0,53","0,66","0,55","0,48",1
Tomas Martin Etcheverry,Jiri Lehecka,1736,1877,1,1,"0,6","0,4","0,5","0,5","0,47","0,6",1
Flavio Cobolli,Roberto Bautista Agut,1779,1779,0,0,"0,6","0,6","0,62","0,5","0,53","0,51",1
Felix Auger Aliassime,Andrey Rublev,1849,1884,1,6,"0,6","0,6","0,58","0,59","0,58","0,56",0
Tomas Martin Etcheverry,Flavio Cobolli,1746,1779,4,0,"0,8","0,8","0,52","0,54","0,48","0,54",0
Hubert Hurkacz,Sebastian Ofner,1931,1719,0,0,"0,8",1,"0,75","0,64","0,61","0,59",1
Cameron Norrie,Novak Djokovic,1768,2148,0,4,1,"0,4","0,63","0,86","0,53","0,79",0
Hubert Hurkacz,Novak Djokovic,1931,2148,0,7,1,"0,6","0,77","0,87","0,62","0,79",0
